location,latitude,longitude,current_price_sqft,price_growth_rate,rental_yield,listing_density,infrastructure_score
Whitefield,12.9698,77.7499,8500,8.5,4.2,75,8.0
Koramangala,12.9279,77.6271,12000,5.2,3.5,40,7.5
Indiranagar,12.9784,77.6408,13500,4.8,3.2,35,8.5
Electronic City,12.8399,77.6770,5500,7.2,4.8,60,7.0
HSR Layout,12.9121,77.6446,9500,6.5,3.8,55,7.8
Yelahanka,13.1007,77.5963,6500,9.0,3.9,45,8.2
Bellandur,12.9304,77.6784,9000,7.8,4.5,80,6.5
Marathahalli,12.9569,77.7011,7500,6.8,4.0,70,6.8
Hebbal,13.0354,77.5988,9800,8.2,3.6,50,8.8
Jayanagar,12.9299,77.5824,14000,4.0,2.8,30,8.0
BTM Layout,12.9166,77.6101,8000,5.5,4.0,65,7.2
Sarjapur Road,12.9239,77.6841,7200,9.5,4.4,85,6.0
Manyata Tech Park,13.0450,77.6206,8800,8.0,4.1,60,8.5
KR Puram,13.0083,77.6953,5800,6.0,3.5,50,6.2
Malleswaram,13.0031,77.5701,13000,4.2,2.5,25,8.5
